smiles,log_KOA
CCCCN(CCCC)N=O,4.806179974
O=S1OC[C@@H]2[C@H](CO1)C1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,8.638268456
ClC/C=C\CCl,4.041392685
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,9.99671977
Clc1cccc2c(Cl)cccc12,6.623181393
Clc1cccc(-c2cccc(Cl)c2)c1,7.67
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,11.4
Clc1ccc2ccc(Cl)cc2c1,6.658221827
Clc1ccc(Cl)c2c(Cl)cccc12,7.56
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,8.42
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,12.05
Clc1ccc(Cl)c2c(Cl)ccc(Cl)c12,8.45
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,8.915697987
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,10.11372483
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,8.872328859
Clc1ccc2oc3ccc(Cl)cc3c2c1,8.36
C1=C(c2ccccc2)CCCC1,8.41
Clc1cc(Cl)c2c(Cl)cccc2c1Cl,8.58
Cl/C=C\CCl,3.748188027
Cl/C=C/CCl,3.278753601
CCN(C)N=O,3.84509804
CC1=CCC2C(C1)C2(C)C,3.799340549
Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,11.01
C=CC(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.61
ClC1=C(Cl)C2(Cl)C3C4OC4(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,8.387489933
